FiscalYear,Revenue,GrossProfit,OperatingIncome,NetIncome,CashFromOperations,FreeCashFlow
1984,1515.9,675.3,91.5,64.1,0.0,0.0
1985,1918.3,842.3,147.3,61.2,0.0,0.0
1986,1901.9,1061.9,273.5,154.0,0.0,0.0
1987,2661.1,1435.4,371.5,217.5,0.0,0.0
1988,4071.4,2158.2,620.3,400.3,0.0,0.0
1989,5284.0,2714.0,634.3,454.0,507.3,268.3
1990,5558.4,3154.9,712.0,474.9,963.9,739.6
1991,6308.8,3199.1,447.3,309.8,128.7,-89.6
1992,7086.542,3095.205,805.808,530.373,920.973,726.12
1993,7977.0,2728.0,431.0,87.0,-651.0,-864.0
1994,9189.0,2343.0,395.0,310.0,737.0,577.0
1995,11062.0,2858.0,661.0,424.0,-240.0,-399.0
1996,9833.0,968.0,-1204.0,-816.0,408.0,341.0
1997,7081.0,1368.0,-778.0,-1045.0,154.0,-283.0
1998,5941.0,1479.0,261.0,309.0,775.0,729.0
1999,6134.0,1696.0,386.0,601.0,822.0,751.0
2000,7983.0,2166.0,620.0,786.0,868.0,726.0
2001,5363.0,1235.0,-344.0,-25.0,185.0,-47.0
2002,5742.0,1603.0,47.0,65.0,89.0,-85.0
2003,6207.0,1708.0,25.0,69.0,289.0,125.0
2004,8279.0,2257.0,336.0,266.0,934.0,758.0
2005,13931.0,4042.0,1643.0,1328.0,2535.0,2275.0
2006,19315.0,5598.0,2453.0,1989.0,2220.0,1535.0
2007,24578.0,8152.0,4407.0,3495.0,5470.0,4484.0
2008,37491.0,13197.0,8327.0,6119.0,9596.0,8397.0
2009,42905.0,17222.0,11740.0,8235.0,10159.0,8946.0
2010,65225.0,25684.0,18385.0,14013.0,18595.0,16474.0
2011,108249.0,43818.0,33790.0,25922.0,37529.0,30077.0
2012,156508.0,68662.0,55241.0,41733.0,50856.0,41454.0
2013,170910.0,64304.0,48999.0,37037.0,53666.0,44590.0
2014,182795.0,70537.0,52503.0,39510.0,59713.0,49900.0
2015,233715.0,93626.0,71230.0,53394.0,81266.0,69778.0
2016,215639.0,84263.0,60024.0,45687.0,66231.0,53497.0
2017,229234.0,88186.0,61344.0,48351.0,64225.0,51774.0
2018,265595.0,101839.0,70898.0,59531.0,77434.0,64121.0
2019,260174.0,98392.0,63930.0,55256.0,69391.0,58896.0
2020,274515.0,104956.0,66288.0,57411.0,80674.0,73365.0
2021,365817.0,152836.0,108949.0,94680.0,104038.0,92953.0
2022,394328.0,170782.0,119437.0,99803.0,122151.0,111443.0
2023,383285.0,169148.0,114301.0,96995.0,110543.0,99584.0
