FiscalYear,Revenue,CashFromOperations,FreeCashFlow,CashEquivalents,MarketSecurities,TreasuryStock,CurrentAssets,LongAssets,CurrentLiabilities,LongLiabilities,CashPaidToDebt
1984,90854.0,0.0,0.0,3290.0,0.0,0.0,17239.0,46039.0,15265.0,19162.0,0.0
1985,86673.0,0.0,0.0,2474.0,0.0,0.0,17355.0,51805.0,19089.0,20975.0,0.0
1986,69888.0,0.0,0.0,3816.0,0.0,0.0,16320.0,53164.0,15220.0,22252.0,0.0
1987,76416.0,0.0,0.0,2531.0,0.0,0.0,15391.0,58651.0,15296.0,25120.0,0.0
1988,79557.0,0.0,0.0,2409.0,0.0,0.0,14846.0,59447.0,17479.0,25047.0,0.0
1989,86656.0,7915.0,1602.0,1865.0,0.0,0.0,16576.0,66643.0,21984.0,28128.0,0.0
1990,105519.0,10646.0,4098.0,1332.0,0.0,0.0,18336.0,69371.0,24025.0,27677.0,-2337.0
1991,102847.0,10942.0,3618.0,1496.0,0.0,0.0,17012.0,70548.0,20854.0,28812.0,-637.0
1992,103160.0,9611.0,2386.0,898.0,0.0,0.0,16424.0,68606.0,19663.0,28616.0,0.0
1993,97825.0,11503.0,4547.0,983.0,0.0,0.0,14859.0,69286.0,18590.0,28368.0,-709.0
1994,99683.0,9851.0,3208.0,1157.0,0.0,0.0,16460.0,71402.0,19493.0,28786.0,-26.0
1995,107893.0,13847.0,6719.0,1508.0,0.0,0.0,17318.0,73978.0,18736.0,29954.0,-2705.0
1996,116728.0,13162.0,5953.0,2951.0,0.0,0.0,19910.0,75617.0,19505.0,30566.0,-254.0
1997,176552.0,21442.0,9790.0,4047.0,0.0,0.0,21192.0,74872.0,19654.0,30379.0,-908.0
1998,165627.0,16436.0,3706.0,2386.0,50.0,-15831.0,28594.0,110741.0,33781.0,39807.0,0.0
1999,182529.0,15013.0,4164.0,1688.0,73.0,-12126.0,31141.0,113380.0,38733.0,38634.0,0.0
2000,231846.0,22937.0,14491.0,7080.0,0.0,-14132.0,40399.0,108601.0,38191.0,36822.0,-5705.0
2001,212785.0,22889.0,12900.0,6547.0,0.0,-19597.0,35681.0,107493.0,30114.0,39899.0,-466.0
2002,204506.0,21268.0,9831.0,7229.0,0.0,-24077.0,38291.0,114353.0,33175.0,42104.0,-307.0
2003,246738.0,28498.0,15639.0,10626.0,0.0,-29361.0,45960.0,128318.0,38386.0,42595.0,-2124.0
2004,298035.0,40551.0,28565.0,18531.0,0.0,-38214.0,60377.0,134879.0,42981.0,46567.0,-1951.0
2005,370680.0,48138.0,34299.0,28671.0,0.0,-55347.0,73342.0,134993.0,46307.0,50842.0,-1502.0
2006,377635.0,49286.0,33824.0,28244.0,0.0,-83387.0,75777.0,143238.0,48817.0,56354.0,0.0
2007,395651.0,52002.0,36615.0,33981.0,519.0,-113678.0,85963.0,156119.0,58312.0,57726.0,-1205.0
2008,466278.0,59725.0,40407.0,31437.0,570.0,-148098.0,72266.0,155786.0,49100.0,61429.0,-1816.0
2009,303443.0,28438.0,5947.0,10693.0,169.0,-166410.0,55235.0,178088.0,52061.0,65870.0,-1714.0
2010,370125.0,48413.0,21542.0,7825.0,0.0,-156608.0,58984.0,243526.0,62633.0,87198.0,-8660.0
2011,467029.0,55345.0,24370.0,12664.0,0.0,-176932.0,72963.0,258089.0,77505.0,92803.0,-1369.0
2012,451509.0,56170.0,21899.0,9582.0,0.0,-197333.0,64460.0,269335.0,64139.0,97996.0,-4861.0
2013,420836.0,44914.0,11245.0,4644.0,0.0,-212781.0,59308.0,287500.0,71724.0,94589.0,-769.0
2014,394105.0,45116.0,12164.0,4616.0,0.0,-225820.0,52910.0,296583.0,64633.0,103796.0,-814.0
2015,239854.0,30344.0,3854.0,3705.0,0.0,-229734.0,42623.0,294135.0,53976.0,105972.0,-532.0
2016,200628.0,22082.0,5919.0,3657.0,0.0,-230424.0,41416.0,288898.0,47638.0,108846.0,-7773.0
2017,237162.0,30066.0,14664.0,3177.0,0.0,-225246.0,47134.0,301557.0,57771.0,96420.0,-5024.0
2018,279332.0,36014.0,16440.0,3042.0,0.0,-225553.0,47973.0,298223.0,57138.0,90530.0,-4971.0
2019,255583.0,29716.0,5355.0,3089.0,0.0,-225835.0,50052.0,312545.0,63989.0,99670.0,-18368.0
2020,178574.0,14668.0,-2614.0,4364.0,0.0,-225776.0,44893.0,287857.0,56363.0,112257.0,-38441.0
2021,276692.0,48129.0,36053.0,6802.0,0.0,-225464.0,59154.0,279769.0,56643.0,106597.0,-32387.0
2022,398675.0,76797.0,58390.0,29640.0,0.0,-240293.0,97631.0,271436.0,69045.0,97549.0,-8080.0
2023,334697.0,55369.0,33450.0,31539.0,0.0,-254917.0,96609.0,279708.0,65316.0,98463.0,-1178.0
